CpuCycles,TaskSizeMB,DeadlineMs,LatencySensitivity,RequiredMemoryMB,EdgeCpuUsagePercent,EdgeMemoryUsagePercent,EdgeQueueSize,BandwidthMbps,NetworkLatencyMs,CloudCpuUsagePercent,CloudQueueSize,ExecutionTimeEdge,ExecutionTimeCloud,TotalResponseTimeEdge,TotalResponseTimeCloud,BestDestination
6081550023.13738,0.32705,4950.41607,0.16326,3209.27935,33.60812,68.48466,18,2.5613,118.86342,67.20222,33,1017.85322,139.20117,1614.07901,2116.88301,Edge
3366542995.72881,37.6885,1164.89745,0.78245,1878.71844,61.56323,86.07844,3,385.66105,44.71497,56.527,24,693.59362,73.72947,830.70399,1473.68959,Edge
2890862005.43254,1.48233,4646.46294,0.34827,2422.98722,26.64759,59.32324,23,2.78573,80.59529,49.28426,9,305.10059,61.37307,994.90313,4614.55618,Edge
1927006601.88077,0.25319,2247.55398,0.29034,2711.65769,89.19483,21.97878,20,452.1947,159.79933,16.38466,31,303.81641,35.04024,1466.5699,667.45841,Cloud
6857168109.83474,77.09955,3803.2392,0.21928,1095.99372,63.64167,52.60183,16,14.84036,177.75018,14.84111,22,935.09869,123.7091,1681.31871,42194.36504,Edge
1745360849.58602,0.85032,3546.53605,0.00865,4105.96014,27.81947,91.72448,8,372.24288,95.154,49.81007,13,406.56889,37.13903,650.71897,423.8474,Cloud
2242166507.51986,8.74136,3924.70654,0.14722,1988.95345,32.90568,93.77766,24,444.63494,171.76553,81.72627,22,424.92774,54.33647,1212.30913,1024.22198,Cloud
1921696790.69039,0.10687,4636.16577,0.87027,153.7856,27.49036,76.28167,13,748.7686,87.39149,78.66043,34,204.16484,46.02472,598.98342,1138.99217,Edge
3388765704.62657,0.10658,4907.5777,0.0076,287.62192,70.64021,68.53948,2,4.13906,177.78752,53.38615,34,481.88307,73.23065,581.45926,1197.69059,Edge
6201737505.73384,69.14285,5011.75549,0.16023,1699.97014,76.69385,18.03502,3,12.97485,22.60676,12.80233,6,913.17404,110.71384,1070.71073,42845.76887,Edge
3144159744.97989,3.80474,3887.94955,0.91072,2818.46347,51.01336,11.80908,2,9.46802,66.64061,79.52371,3,395.67511,75.55407,477.58714,3500.18061,Edge
6768414511.3539,0.40877,5071.64822,0.62331,2058.79859,52.99967,34.90889,13,5.90312,47.39496,47.69481,20,862.97102,142.69749,1407.01911,1183.4596,Cloud
1106837345.84918,8.66921,5136.17347,0.93585,1112.81888,89.71841,39.08099,18,35.02429,125.84622,72.94637,23,174.98951,25.92319,1225.7086,2848.81037,Edge
3125065746.77539,49.67602,2856.43051,0.52206,1237.83667,80.31356,49.73981,7,6.57912,158.21977,65.56985,27,469.57645,71.05759,848.56416,61375.84185,Edge
1077835536.10921,1.44771,4914.7981,0.63468,1781.03642,23.26417,30.65579,10,3.58296,159.05724,11.05868,0,110.71542,19.06758,395.40417,3511.51996,Edge
4630312358.13643,141.39198,1483.45825,0.13434,3519.74399,68.92864,88.86959,19,14.9705,104.07506,79.30456,32,1294.98746,111.17233,2226.3273,76665.20294,Edge
6812631900.31174,0.18048,1956.2588,0.11406,167.96773,85.57279,78.31199,5,688.23245,66.28908,45.96474,16,1053.53261,142.53839,1336.0714,540.28202,Cloud
297687603.01996,4.58834,487.43763,0.68987,5774.28129,47.57608,26.20866,24,67.82684,126.08065,77.02362,5,36.60964,7.08451,982.43128,896.0532,Cloud
2416759188.22492,0.12676,3712.06651,0.05138,5258.77287,31.46383,43.40022,3,302.88384,3.08154,86.80338,17,397.64446,59.70366,494.12063,560.93637,Edge
7203314760.04949,6.23369,3137.89054,0.85625,1833.03628,91.28457,88.02146,12,105.03227,55.21758,51.78861,39,1788.89143,154.59688,2497.82809,1566.24277,Cloud
7302213435.41155,7.45381,2194.88534,0.47348,2037.22768,90.50714,64.07461,21,190.89985,106.8547,43.7431,29,1159.26983,151.27961,2392.56229,1190.17409,Cloud
1543389096.99274,0.45135,1735.2896,0.57734,539.49948,28.1867,29.3183,9,327.13865,93.09644,10.73805,15,164.8683,27.25769,441.02444,370.57566,Cloud
5137068985.60611,15.64847,5277.43794,0.2543,5942.5681,15.08861,94.74033,1,24.12972,128.03968,86.19774,16,1328.08729,126.61816,1352.87717,5938.74871,Edge
6421011129.63679,39.97418,353.32692,0.95221,3265.01921,56.98051,38.3955,24,18.00525,118.65126,18.07407,19,839.978,117.76257,1887.36751,18376.06698,Edge
5037716829.16568,49.3366,3909.21945,0.54712,5794.32084,89.25413,10.28075,6,8.07079,139.97011,16.47153,9,794.50727,91.64518,1143.49342,49334.68768,Edge
6364875117.2772,4.84058,3490.53375,0.34197,1936.03442,97.46817,56.53099,23,119.3424,88.74689,88.7094,33,1047.38355,158.36128,2470.17915,1575.97077,Cloud
1145943528.90083,0.21606,4568.20297,0.70537,5056.12891,20.25935,38.23211,15,5.68565,21.43836,60.26532,5,114.84202,25.49356,521.59266,482.3549,Cloud
355521666.8665,0.41602,4861.62059,0.09539,1515.85402,89.23269,77.27707,2,13.09596,131.24991,81.97489,13,56.0636,8.62387,172.37302,770.98128,Edge
3505599176.0714,1.49206,172.94136,0.39269,4027.31463,61.93677,51.31153,20,17.50587,23.41989,61.25094,3,643.12213,78.30825,1560.55304,863.20608,Cloud
4739039788.66946,0.34366,2617.60816,0.1899,2942.11718,48.11155,76.9253,1,272.83323,7.81322,43.92331,36,939.85072,98.25754,979.50092,825.50396,Cloud
5898997723.31072,0.28754,4154.70935,0.50533,4394.78405,15.46301,38.96799,7,4.68952,40.02905,71.1086,4,567.59667,137.1564,742.30514,790.51929,Edge
5364908447.12356,0.6727,2365.44551,0.74424,1821.7007,74.78657,18.09151,13,269.77408,63.32791,52.86214,12,781.42829,115.67445,1452.92973,505.63827,Cloud
5628616279.14413,10.9154,2232.83494,0.59039,1649.09361,52.95547,67.45585,22,19.79309,41.54737,6.64144,35,717.43969,97.27158,1637.6988,4976.28854,Edge
768457906.63197,7.73435,4559.0105,0.12509,2723.76042,88.93031,49.3865,13,102.4428,163.45965,28.42015,13,120.98749,14.82983,875.22979,1014.01179,Edge
2872119005.64009,15.36324,1150.57924,0.79768,3534.03374,25.00218,23.93744,10,707.80088,68.8241,55.87837,15,299.18428,62.72877,591.6941,694.49555,Edge
4256998024.34863,56.96886,1941.72177,0.2879,1766.57797,45.50895,41.20626,17,64.17149,103.19817,7.58902,35,516.19274,73.9413,1170.33617,7717.36234,Edge
1176760784.47921,0.8739,5648.60101,0.68972,4002.23731,20.46599,31.01442,12,358.28403,76.21294,31.8914,13,118.13304,23.08755,444.64938,392.58822,Cloud
7592644151.13379,146.29409,3209.4559,0.52051,4589.4147,10.68502,20.72209,13,681.70167,155.64618,76.30887,28,700.32666,180.19093,996.83405,2883.72569,Edge
4192536175.50365,0.57426,5987.73133,0.07306,3775.46947,36.72511,38.91036,4,551.13133,171.76391,31.36955,35,477.68749,82.05319,615.7927,866.24724,Edge
4052688713.32644,1.16206,1416.39126,0.57926,2458.07716,97.14418,79.07753,21,4.44441,161.65574,34.85608,0,1019.78907,80.62452,2315.80156,2427.64862,Edge
7211425532.12653,54.6607,4063.23055,0.22942,1104.13398,65.35792,65.61825,13,3.29651,40.73713,36.33048,8,993.72194,144.44918,1610.06578,132989.53711,Edge
3044291591.66491,0.12238,2469.79542,0.87476,5628.41833,92.34875,36.14546,1,7.47369,110.53457,85.57034,3,706.11156,74.85866,765.6685,499.5617,Cloud
955650146.8437,1.36538,533.91299,0.37579,3485.65448,91.16878,22.79625,25,121.50192,87.07681,7.45209,5,152.24206,16.58691,1627.8908,284.48373,Cloud
1142580540.38164,0.92907,5970.37115,0.34837,4238.12836,69.30312,26.49509,4,63.67673,129.87671,70.95515,40,161.20204,26.54967,357.94766,1342.79977,Edge
2572095030.53319,24.53217,3609.75124,0.79495,2394.55031,74.25815,33.4976,0,4.09351,134.62828,74.97812,24,373.5071,60.72481,373.5071,48881.85563,Edge
4360725646.0752,1.50448,4487.8747,0.44759,5842.57268,16.47005,22.82144,15,15.36952,45.19196,24.37045,9,423.24493,82.51884,804.41775,1069.28799,Edge
6593019324.32829,2.00836,1295.30208,0.7561,4958.17315,52.92103,34.39367,13,4.30168,134.42736,43.2092,25,840.17608,136.26135,1383.76409,4595.00539,Edge
7402651701.54285,2.54014,3876.60142,0.35416,1359.87809,85.59107,87.08456,9,9.31262,149.74927,26.5594,9,1629.9693,141.58216,2138.61314,2669.05683,Edge
3172891248.95953,0.87234,3945.4569,0.07452,2115.8904,63.50671,59.02417,21,3.56867,5.20422,78.85806,28,432.32417,76.04893,1410.46258,2802.9666,Edge
